,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
1290,서울여자간호대학(지하주차장),서울특별시 서대문구 간호대로 38 (홍제동 서울여자간호대학),주차장,990.0,126.947757,37.597569
1291,문화촌현대아파트(전동지하),서울특별시 서대문구 문화촌길 6-24 (홍제동 문화촌현대아파트),주차장,13000.0,126.949478,37.591414
1292,남양아파트주차장(전동지하),서울특별시 서대문구 홍제내길 168 (홍제동 남양아파트),주차장,1533.0,126.937854,37.588785
1293,럭키대현아파트,서울특별시 서대문구 이화여대길 50-12 (대현동 럭키대현아파트),주차장,3018.0,126.946521,37.559452
1294,동도아카데미,서울특별시 서대문구 연희로26가길 33 (연희동 동도아카데미하우스),주차장,703.0,126.936793,37.574437
1295,남가좌동삼성아파트주차장 (20동),서울특별시 서대문구 증가로 191 (남가좌동 남가좌삼성아파트),주차장,4000.0,126.91739,37.578494
1296,월드컵현대아파트(전동지하),서울특별시 서대문구 수색로 154 (북가좌동 월드컵현대아파트),주차장,3200.0,126.904981,37.575576
1297,홍제삼성래미안아파트 제1주차장,서울특별시 서대문구 통일로 319 (홍제동 홍제삼성래미안),주차장,4000.0,126.95195,37.578182
1299,홍제한화아파트(전동 지하),서울특별시 서대문구 통일로 357 (홍제동 무악재한화아파트),주차장,518.0,126.949846,37.58199
1302,진양빌딩,서울특별시 서대문구 경기대로 47 (충정로2가),주차장,3627.0,126.962377,37.56382
1303,피어리스아파트,서울특별시 서대문구 충정로 50 (충정로3가 골든브릿지빌딩),주차장,2574.0,126.965121,37.562949
1305,종근당빌딩,서울특별시 서대문구 충정로 8 (충정로3가 종근당빌딩),주차장,1089.0,126.963203,37.559679
1306,홍은동일아파트,서울특별시 서대문구 홍은중앙로 81 (홍은동 동일아파트),주차장,1043.0,126.946646,37.598457
1307,홍은극동아파트(전동지하),서울특별시 서대문구 포방터10길 33 (홍은동 극동아파트),주차장,3200.0,126.951391,37.602454
1308,연희대우아파트(전동지하),서울특별시 서대문구 연희로 38-20 (연희동 연희대우아파트),주차장,4597.0,126.928577,37.562092
1309,풍림1차아파트,서울특별시 서대문구 통일로48가길 37 (홍은동 홍은풍림1차아파트),주차장,690.0,126.942115,37.594806
1310,풍림2차아파트(전동지하),서울특별시 서대문구 세검정로1길 35 (홍은동 풍림2차아파트),주차장,2400.0,126.944096,37.593668
1311,벽산아파트(전동지하),서울특별시 서대문구 세검정로1길 95 (홍은동 홍은벽산아파트),주차장,7000.0,126.94562,37.595824
1312,충신교회,서울특별시 서대문구 응암로1길 16 (북가좌동 대한예수교장로회충신교회),주차장,2449.0,126.910711,37.581859
1313,서대문구청,서울특별시 서대문구 연희로 248 (연희동 서대문구청),공공시설,1422.0,126.936761,37.579155
1315,무악청구1차아파트(단지내 지하주차장 전체),서울특별시 서대문구 통일로 348 (홍제동 무악청구아파트),주차장,3000.0,126.952831,37.58126
1316,무악청구2차아파트,서울특별시 서대문구 통일로 344 (홍제동 무악청구아파트),주차장,2000.0,126.951441,37.581274
1317,홍제원현대아파트(단지내 지하주차장 전체),서울특별시 서대문구 통일로34길 43 (홍제동 홍제원현대아파트),주차장,3500.0,126.948796,37.588336
1318,인왕산현대아파트(단지내 지하주차장 전체),서울특별시 서대문구 통일로34길 46 (홍제동 인왕산현대아파트),주차장,3500.0,126.949957,37.585857
1319,북성초등학교,서울특별시 서대문구 북아현로1나길 22 북성초등학교 (북아현동),주차장,3000.0,126.951835,37.559632
1321,풍림아이원아파트(전동지하),서울특별시 서대문구 홍은중앙로 149 (홍은동 홍은동풍림아이원아파트),주차장,7000.0,126.947318,37.603897
