호선,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
3,녹번,B2,섬식,136.67,123.69,12.98,11.88,
3,홍제,B3,섬식,138.75,121.83,16.92,15.82,
3,무악재,B3,상대식,154.53,138.06,16.47,15.37,
3,독립문,B3,섬식,149.49,131.45,18.04,16.94,
3,경복궁,B3,섬식,134.82,115.66,19.16,18.06,
3,안국,B4,섬식,133.1,113.19,19.91,18.81,
3,종로3가,B4,섬식,125.3,103.95,21.35,20.25,"1,5호선환승"
3,을지로3가,B3,섬식,123.39,104.99,18.4,17.3,2호선환승
3,충무로,B4,섬식,137.83,110.14,27.69,26.59,4호선환승
3,동대입구,B3,섬식,131.99,116.79,15.2,14.1,
3,약수,B3,섬식,135.42,120.27,15.15,14.05,6호선환승
3,금호,B2,섬식,134.29,121.89,12.4,11.3,
3,옥수,지상역사,상대식,113.51,128.09,-14.58,-15.68,중앙선환승
3,압구정,B2,상대식,121.58,109.19,12.39,11.29,
3,신사,B2,상대식,124.49,110.91,13.58,12.48,
3,잠원,B2,상대식,110.98,97.26,13.72,12.62,
3,고속터미널,B3,상대식,110.05,96.12,13.93,12.83,"7,9호선환승"
3,교대,B3,섬식,119.1,99.42,19.68,18.58,2호선환승
3,남부터미널,B3,상대식,135.55,116.99,18.56,17.46,
3,양재,B2,상대식,131,112.41,18.59,17.49,신분당선환승
3,매봉,B2,상대식,114.98,99.35,15.63,14.53,
3,도곡,B4,상대식,113.38,88.531,24.849,23.749,분당선환승
3,대치,B4,섬식,111.43,86.93,24.5,23.4,
3,학여울,B5,상대식,117.91,91.57,26.34,25.24,
3,대청,B3,상대식,122,107.62,14.38,13.28,
3,일원,B3,상대식,143.96,127.07,16.89,15.79,
3,수서,B2,상대식,113.38,102.09,11.29,10.19,분당선환승
3,가락시장,B4,상대식,116.12,91.69,24.43,23.33,8호선환승
3,경찰병원,B3,상대식,126.56,96.83,29.73,28.63,
3,오금,B4,상대식,133.6,98.27,35.33,34.23,5호선환승
4,당고개,지상역사,상대식,141.03,156.69,-15.66,-16.76,
4,상계,지상역사,상대식,131.63,144.57,-12.94,-14.04,
4,노원,지상역사,상대식,125.69,138.28,-12.59,-13.69,7호선환승
4,창동,지상역사,상대식,122.99,132.46,-9.47,-10.57,국철환승
4,쌍문,B2,상대식,140.28,126.24,14.04,12.94,
4,수유,B2,상대식,132.56,119.9,12.66,11.56,
4,미아,B2,상대식,140.93,127.38,13.55,12.45,
4,미아삼거리,B2,상대식,131.31,117.33,13.98,12.88,
4,길음,B2,섬식,135.62,120.69,14.93,13.83,
4,성신여대입구,B2,상대식,131.18,118.07,13.11,12.01,
4,한성대입구,B2,섬식,140.1,125.2,14.9,13.8,
4,혜화,B2,상대식,128.26,114.28,13.98,12.88,
4,동대문,B4,섬식,120.66,99.05,21.61,20.51,1호선환승
4,동대문역사문화공원,B3,섬식,123.39,101.03,22.36,21.26,"2,5호선환승"
4,충무로,B3,상대식,134.6,117.03,17.57,16.47,3호선환승
4,명동,B4,섬식,137.46,117.89,19.57,18.47,
4,회현,B4,섬식,142,118.81,23.19,22.09,
4,서울역,B2,섬식,127.56,112.51,15.05,13.95,1호선환승
4,숙대입구,B2,상대식,118.14,104.15,13.99,12.89,
4,삼각지,B2,상대식,112.01,99.02,12.99,11.89,6호선환승
4,신용산,B2,상대식,111.39,98.06,13.33,12.23,
4,이촌,B2,상대식,114.24,101.38,12.86,11.76,중앙선환승
4,동작,지상역사,상대식,105.43,125.23,-19.8,-20.9,9호선환승
4,총신대입구,B2,상대식,114.34,99.69,14.65,13.55,7호선환승
4,사당,B3,섬식,116.94,97.75,19.19,18.09,2호선환승
4,남태령,B3,섬식,156.71,119.5,37.21,36.11,최대심도역
5,방화,B2,섬식,116.05,104.77,11.28,10.18,
5,개화산,B2,상대식,109.7,101.52,8.18,7.08,
5,김포공항,B3,상대식,113.57,93.26,20.31,19.21,
5,송정,B3,상대식,112.62,89.72,22.9,21.8,
5,마곡,B2,상대식,106.57,96.11,10.46,9.36,
5,발산,B2,상대식,108.92,95.95,12.97,11.87,
5,우장산,B2,상대식,122.57,108.02,14.55,13.45,
5,화곡,B3,섬식,125.12,105.12,20,18.9,
5,까치산,B5,상대식,114.37,82.28,32.09,30.99,2호선환승
5,신정,B5,상대식,123.71,97.54,26.17,25.07,
5,목동,B2,상대식,108.61,93.72,14.89,13.79,
5,오목교,B3,상대식,107.83,86.1,21.73,20.63,
5,양평,B5,상대식,107.91,74.33,33.58,32.48,
5,영등포구청,B5,상대식,109.39,78.44,30.95,29.85,2호선환승
