시설번호,대피시설명,지번주소,도로명주소,대피시설 구분,평시활용 유형,대피시설 면적,대피시설 인원수,개방여부,데이터기준일자,제공기관명,제공기관코드,경도,위도,X좌표,Y좌표
650,거평타운,서울특별시 강남구 논현동 203-1,서울특별시 강남구 봉은사로 129 (논현동 거평타운),공공용,주차장복도기타,1815,2200,Y,2021-08-09,서울특별시 강남구청,3220000,127.028315,37.505917,202503.6043,545161.204
651,신사역,서울특별시 강남구 신사동 667,서울특별시 강남구 도산대로 지하 102 (신사동 신사역),공공용,지하철승강장,3729,4520,Y,2021-08-09,서울특별시 강남구청,3220000,127.020329,37.516431,201797.198,546328.0046
652,논현1동주민센터,서울특별시 강남구 논현동 133-13,서울특별시 강남구 학동로20길 25 (논현동 논현1동주민센터),공공용,주차장,1535,1861,Y,2021-08-09,서울특별시 강남구청,3220000,127.028535,37.511503,202522.7976,545781.2043
653,논현역,서울특별시 강남구 논현동 279-67,서울특별시 강남구 학동로 지하 102 (논현동 논현역),공공용,지하철승강장,5997,7269,Y,2021-08-09,서울특별시 강남구청,3220000,127.021658,37.511198,201914.7969,545747.2044
654,호텔더 디자이너스리즈 강남프리미어,서울특별시 강남구 논현동 201-4,서울특별시 강남구 봉은사로 113 (논현동 호텔더디자이너스리즈강남프리미어),공공용,주차장 기타,921,1116,Y,2021-08-09,서울특별시 강남구청,3220000,127.025877,37.505265,202287.998,545088.8038
655,서울세관,서울특별시 강남구 논현동 71,서울특별시 강남구 언주로 721 (논현동 서울세관),공공용,대피소식당,5240,6352,Y,2021-08-09,서울특별시 강남구청,3220000,127.033777,37.518301,202985.9995,546535.7942
656,건설회관,서울특별시 강남구 논현동 71-2,서울특별시 강남구 언주로 711 (논현동 건설회관),공공용,주차장,4062,4924,Y,2021-08-09,서울특별시 강남구청,3220000,127.033426,37.517077,202955.07,546400.0243
657,송암빌딩,서울특별시 강남구 논현동 84,서울특별시 강남구 언주로 709 (논현동 송암빌딩),공공용,주차장,4010,4861,Y,2021-08-09,서울특별시 강남구청,3220000,127.03493,37.516792,203088.0002,546368.4046
658,LGU+,서울특별시 강남구 논현동 261-1,서울특별시 강남구 언주로 616 (논현동 KIDC 논현센터),공공용,주차장,8837,10712,Y,2021-08-09,서울특별시 강남구청,3220000,127.036986,37.511047,203270.004,545730.8043
659,두산빌딩,서울특별시 강남구 논현동 105-7,서울특별시 강남구 언주로 726 (논현동 두산빌딩),공공용,주차장 식당,10349,12544,Y,2021-08-09,서울특별시 강남구청,3220000,127.035198,37.519383,203111.603,546656.004
660,논현2문화센터,서울특별시 강남구 논현동 114-24,서울특별시 강남구 학동로43길 17 (논현동 논현2동주민센터),공공용,주차장,2706,3280,Y,2021-08-09,서울특별시 강남구청,3220000,127.037204,37.517278,203289.0402,546422.4049
104,상일여자고등학교,,서울특별시 강동구 천호대로219길 61 (상일동 상일여자고등학교),공공용,공공시설,2381,2886,Y,2021-08-06,강동구청,3240000,127.170824,37.548587,215095.3568,549910.4445
105,강동구청 본관 및 제2청사 지하,서울특별시 강동구 성내동 540번지,서울특별시 강동구 성내로 25 (성내동),공공용,공공시설,2196,2662,Y,2021-08-06,강동구청,3240000,127.12379,37.530156,210941.802,547858.2942
106,강동경찰서,서울특별시 강동구 성내동 541번지 1호,서울특별시 강동구 성내로 57 (성내동 강동경찰서),공공용,공공시설,8261.9,10014,Y,2021-08-06,강동구청,3240000,127.126894,37.528676,211216.4036,547694.4048
107,강동고등학교,서울특별시 강동구 상일동 267번지,서울특별시 강동구 구천면로 572-0 (상일동),공공용,공공시설,614,744,Y,2021-08-06,강동구청,3240000,127.160669,37.549914,214197.726,550056.0459
108,강동우체국,서울특별시 강동구 길동 403번지,서울특별시 강동구 양재대로112길 57 (길동 서울강동우체국),공공용,공공시설,119,144,Y,2021-08-06,강동구청,3240000,127.143202,37.536372,212656.5858,548550.5562
109,주공9단지아파트(전동지하),서울특별시 강동구 명일동 257번지,서울특별시 강동구 구천면로 476 (명일동),공공용,공공시설,1858,2252,Y,2021-08-06,강동구청,3240000,127.151105,37.548962,213352.7926,549949.0628
110,현대1차아파트(전동지하),서울특별시 강동구 둔촌동 30번지 4호,서울특별시 강동구 동남로49길 57 (둔촌동 현대아파트),공공용,공공시설,1995,2418,Y,2021-08-06,강동구청,3240000,127.146192,37.531185,212921.7181,547975.3247
111,둔촌천주교회,서울특별시 강동구 둔촌동 518번지,서울특별시 강동구 풍성로 241 (둔촌동),공공용,공공시설,614,744,Y,2021-08-06,강동구청,3240000,127.138584,37.528688,212249.6209,547697.167
112,보훈병원,서울특별시 강동구 둔촌동 6번지 2호,서울특별시 강동구 진황도로61길 53 (둔촌동),공공용,공공시설,3002,3638,Y,2021-08-06,강동구청,3240000,127.147926,37.528464,213075.4239,547673.5246
113,프라자아파트(전동지하),서울특별시 강동구 둔촌동 603번지,서울특별시 강동구 천호대로 1240 (둔촌동),공공용,공공시설,1153,1397,Y,2021-08-06,강동구청,3240000,127.147983,37.535902,213079.1722,548499.0383
2504,중구청,,서울특별시 중구 창경궁로 17,공공용,,1448,1755,Y,2021-06-01,서울특별시 중구청,3010000,126.998008,37.564121,199823.9984,551620.8048
114,삼익2차아파트(전동지하),서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),공공용,공공시설,10195,12357,Y,2021-08-06,강동구청,3240000,127.147066,37.553808,212995.0604,550486.3063
115,삼익가든아파트(전동지하),서울특별시 강동구 명일동 270번지,서울특별시 강동구 상암로 214 (명일동),공공용,공공시설,6090,7381,Y,2021-08-06,강동구청,3240000,127.146235,37.546323,212922.8796,549655.4726
116,한영고등학교,서울특별시 강동구 상일동 166번지,서울특별시 강동구 동남로 832 (상일동),공공용,공공시설,4838,5864,Y,2021-08-06,강동구청,3240000,127.157773,37.549142,213942.0041,549970.0042
117,강동소방서,서울특별시 강동구 성내동 541번지,서울특별시 강동구 성내로 39 (성내동),공공용,공공시설,324,393,Y,2021-08-06,강동구청,3240000,127.125371,37.529456,211081.6412,547780.7735
118,이마트 천호점,서울특별시 강동구 천호동 454번지 1호,서울특별시 강동구 천호대로 1017 (천호동),공공용,공공시설,5925,7181,Y,2021-08-06,강동구청,3240000,127.12515,37.538726,211060.7112,548809.6294
119,세우빌딩,서울특별시 강동구 천호동 453번지 14호,서울특별시 강동구 천호대로 1037 (천호동),공공용,공공시설,1285,1557,Y,2021-08-06,강동구청,3240000,127.127333,37.537841,211253.7684,548711.6719
120,강동성심병원,서울특별시 강동구 길동 445번지,서울특별시 강동구 성안로 150 (길동 강동성심병원),공공용,공공시설,7840,9503,Y,2021-08-06,강동구청,3240000,127.135364,37.536143,211963.8176,548524.1971
121,현대종합상가 지하,서울특별시 강동구 명일동 347번지 3호,서울특별시 강동구 상암로 210 (명일동),공공용,공공시설,1129,1368,Y,2021-08-06,강동구청,3240000,127.145794,37.5463,212883.9032,549652.805
122,기아자동차 강동지점,서울특별시 강동구 성내동 397번지 3호,서울특별시 강동구 양재대로 1395 (성내동),공공용,공공시설,1440,1745,Y,2021-08-06,강동구청,3240000,127.136817,37.530784,212093.1386,547929.5242
123,경창빌딩 지하주차장,서울특별시 강동구 성내동 428번지 6호,서울특별시 강동구 양재대로 1349 (성내동),공공용,공공시설,277,335,Y,2021-08-06,강동구청,3240000,127.135359,37.526718,211964.9254,547478.1274
124,명덕유치원 지하,서울특별시 강동구 고덕동 639번지 2호,서울특별시 강동구 동남로83길 66 (고덕동),공공용,공공시설,346,419,Y,2021-08-06,강동구청,3240000,127.153177,37.559871,213533.9442,551160.0857
125,강동보건소 지하,서울특별시 강동구 성내동 541번지 2호,서울특별시 강동구 성내로 45 (성내동),공공용,공공시설,578,701,Y,2021-08-06,강동구청,3240000,127.125585,37.529539,211100.5446,547789.9741
126,현대3차아파트 (전동지하),서울특별시 강동구 둔촌동 135번지 1호,서울특별시 강동구 진황도로 211 (둔촌동),공공용,공공시설,1594,1932,Y,2021-08-06,강동구청,3240000,127.144879,37.527344,212806.3293,547548.8115
127,현대2차아파트(전동지하),서울특별시 강동구 둔촌동 70번지 5호,서울특별시 강동구 풍성로65길 34 (둔촌동),공공용,공공시설,1323,1603,Y,2021-08-06,강동구청,3240000,127.140487,37.529468,212417.7098,547783.9581
128,강동구민회관 지하,서울특별시 강동구 천호동 41번지,서울특별시 강동구 상암로 168 (천호동),공공용,공공시설,1046,1267,Y,2021-08-06,강동구청,3240000,127.141217,37.545764,212479.5101,549592.7579
129,코오롱상가 지하주차장,서울특별시 강동구 천호동 410번지 100호,서울특별시 강동구 진황도로 12 (천호동),공공용,공공시설,4699,5695,Y,2021-08-06,강동구청,3240000,127.128211,37.539182,211331.1906,548860.5055
130,명성교회 지하주차장,서울특별시 강동구 명일동 331번지 1호,서울특별시 강동구 구천면로 452 (명일동),공공용,공공시설,3220,3903,Y,2021-08-06,강동구청,3240000,127.147585,37.548964,213041.7731,549948.7585
131,명일엘지아파트(전동지하),서울특별시 강동구 명일동 332번지,서울특별시 강동구 상암로51길 61 (명일동),공공용,공공시설,42893,51991,Y,2021-08-06,강동구청,3240000,127.146152,37.54866,212915.2035,549914.8048
132,대신증권 지하주차장,서울특별시 강동구 명일동 335번지 3호,서울특별시 강동구 양재대로 1596 (명일동),공공용,공공시설,1671,2025,Y,2021-08-06,강동구청,3240000,127.143793,37.548081,212706.7884,549850.1934
133,신한오피스텔 지하주차장,서울특별시 강동구 성내동 120번지 89호,서울특별시 강동구 천호옛길 34 (성내동),공공용,공공시설,657,796,Y,2021-08-06,강동구청,3240000,127.122646,37.532247,210840.3371,548090.2347
134,농협중앙회 서울지역본부,서울특별시 강동구 성내동 451번지,서울특별시 강동구 올림픽로 528 (성내동 농협서울지역본부),공공용,공공시설,2620,3176,Y,2021-08-06,강동구청,3240000,127.1204,37.529401,210642.2409,547774.1117
135,심포니타워,서울특별시 강동구 성내동 416번지 6호,서울특별시 강동구 양재대로 1365 (성내동),공공용,공공시설,644,780,Y,2021-08-06,강동구청,3240000,127.135875,37.528065,212010.3385,547627.6214
136,KT강동지사,서울특별시 강동구 길동 415번지 9호,서울특별시 강동구 천호대로175길 39 (길동),공공용,공공시설,1993,2415,Y,2021-08-06,강동구청,3240000,127.136972,37.537011,212105.797,548620.7126
137,4H회관,서울특별시 강동구 명일동 48번지 1호,서울특별시 강동구 동남로73길 31 (명일동),공공용,공공시설,865,1048,Y,2021-08-06,강동구청,3240000,127.154467,37.552671,213649.1997,550361.2038
138,현대아파트(전동지하),서울특별시 강동구 천호동 168번지 6호,서울특별시 강동구 진황도로 47-2 (천호동),공공용,공공시설,1559,1889,Y,2021-08-06,강동구청,3240000,127.132971,37.538559,211751.956,548791.9687
139,현대프라자상가,서울특별시 강동구 천호동 410번지 105호,서울특별시 강동구 진황도로 18 (천호동),공공용,공공시설,5598,6785,Y,2021-08-06,강동구청,3240000,127.129112,37.539269,211410.7981,548870.3359
140,동화빌딩(달려라병원),서울특별시 강동구 길동 318번지,서울특별시 강동구 천호대로 1165 (길동),공공용,공공시설,940,1139,Y,2021-08-06,강동구청,3240000,127.140932,37.534084,212456.2759,548296.4084
141,강동수도사업소,서울특별시 강동구 성내동 541번지 4호,서울특별시 강동구 성내로 51 (성내동 강동수도사업소),공공용,공공시설,561,680,Y,2021-08-06,강동구청,3240000,127.126337,37.529094,211167.0718,547740.6769
1133,삼성화원아파트,서울특별시 마포구 망원동 494번지,서울특별시 마포구 망원로10길 6 (망원동 삼성화원아파트),공공용,,1420,1720,Y,2021-08-12,마포구청,3130000,126.906639,37.557478,191750.7992,550887.6041
2505,중구구민회관,,서울특별시 중구 을지로39길 40,공공용,,907,1099,Y,2021-06-01,서울특별시 중구청,3010000,127.005796,37.568987,200511.9978,552160.8045
1134,망원대상4차아파트 주차장,서울특별시 마포구 망원동 492번지,서울특별시 마포구 포은로8길 8 (망원동 망원동대상4차아파트),공공용,,984,1100,Y,2021-08-12,마포구청,3130000,126.905269,37.55618,191629.6039,550743.6038
1135,망원1차 대림아파트,서울특별시 마포구 망원동 496번지,서울특별시 마포구 망원로2길 103 (망원동 망원1차대림아파트),공공용,,1539,1864,Y,2021-08-12,마포구청,3130000,126.905068,37.55334,191611.5961,550428.4043
1136,태청아파트,서울특별시 마포구 망원동 501번지,서울특별시 마포구 포은로6길 34 (망원동 태청아파트),공공용,,857,1038,Y,2021-08-12,마포구청,3130000,126.906727,37.55581,191758.3997,550702.4038
1137,시티아파트 주차장,서울특별시 마포구 망원동 504번지,서울특별시 마포구 포은로6길 33 (망원동 시티아파트),공공용,,721,870,Y,2021-08-12,마포구청,3130000,126.906667,37.556156,191753.1981,550740.8042
1138,강변타운아파트,서울특별시 마포구 망원동 490번지,서울특별시 마포구 동교로3길 79 (망원동 강변타운아파트),공공용,,1189,1440,Y,2021-08-12,마포구청,3130000,126.899816,37.553973,191147.5998,550499.2046
1139,현대리버빌아파트,서울특별시 마포구 망원동 460번지 15호,서울특별시 마포구 동교로1길 48 (망원동 현대리버빌),공공용,,642,760,Y,2021-08-12,마포구청,3130000,126.900809,37.553152,191235.2027,550408.0048
1140,해오름아파트,서울특별시 마포구 망원동 382번지 3호,서울특별시 마포구 월드컵로17길 67 (망원동 해오름 아파트),공공용,,530,640,Y,2021-08-12,마포구청,3130000,126.907616,37.554372,191836.8035,550542.8041
1141,공영주차장(망원1동주민센터 앞 지하주차장),서울특별시 마포구 망원동 403번지 2호,서울특별시 마포구 포은로6길 10 (망원동 망원1동주민센터),공공용,,5089,6168,Y,2021-08-12,마포구청,3130000,126.905591,37.555589,191657.9986,550678.0045
1142,망원1동주민센터,서울특별시 마포구 망원동 403번지 2호,서울특별시 마포구 포은로6길 10 (망원동 망원1동주민센터),공공용,,491,596,Y,2021-08-12,마포구청,3130000,126.905591,37.555589,191657.9986,550678.0045
1143,한강1차대주피오레,서울특별시 마포구 망원동 500번지,서울특별시 마포구 동교로3길 67 (망원동 한강1차대주파크빌),공공용,,2276,2700,Y,2021-08-12,마포구청,3130000,126.900428,37.553487,191201.6024,550445.2047
1144,한강2차대주피오레,서울특별시 마포구 망원동 499번지,서울특별시 마포구 동교로3길 115 (망원동 한강2차대주파크빌),공공용,,3601,4364,Y,2021-08-12,마포구청,3130000,126.898357,37.555003,191018.8035,550613.6042
1145,마포구청,서울특별시 마포구 성산동 370번지,서울특별시 마포구 월드컵로 212 (성산동 마포구청),공공용,,18202.35,22063,Y,2021-08-12,마포구청,3130000,126.901615,37.566311,191307.9961,551868.4049
1146,이안상암2차,서울특별시 마포구 성산동 592번지 6호,서울특별시 마포구 월드컵로 190 (성산동 이안상암Ⅱ),공공용,,1613,2016,Y,2021-08-12,마포구청,3130000,126.903289,37.564179,191455.6016,551631.6043
1147,삼라마이다스,서울특별시 마포구 성산동 590번지 2호,서울특별시 마포구 월드컵로36길 18 (성산동 삼라마이다스),공공용,,1995,2493,Y,2021-08-12,마포구청,3130000,126.903408,37.566251,191466.3958,551861.6045
1148,이안상암,서울특별시 마포구 성산동 591번지 1호,서울특별시 마포구 월드컵로 204 (성산동 이안상암),공공용,,1359,1647,Y,2021-08-12,마포구청,3130000,126.902133,37.5654,191353.6016,551767.2046
1149,월드타운대림@,서울특별시 마포구 성산동 601번지,서울특별시 마포구 월드컵북로30길 9-22 (성산동 성산월드타운대림아파트),공공용,,16264,20330,Y,2021-08-12,마포구청,3130000,126.907905,37.569113,191863.996,552178.8044
1150,현대2차@,서울특별시 마포구 중동 40번지 12호,서울특별시 마포구 성암로 79 (중동 성산2차현대아파트),공공용,,7375,8939,Y,2021-08-12,마포구청,3130000,126.908016,37.571009,191873.9993,552389.2044
1151,건영@,서울특별시 마포구 중동 393번지,서울특별시 마포구 모래내로9길 30 (중동 건영 월드컵 아파트),공공용,,4664,5830,Y,2021-08-12,마포구청,3130000,126.91132,37.568452,192165.6036,552105.2042
1152,풍림@,서울특별시 마포구 성산동 600번지,서울특별시 마포구 성암로1길 12 (성산동 성사1차풍림아파트),공공용,,3621,4526,Y,2021-08-12,마포구청,3130000,126.912403,37.568082,192261.1984,552064.0044
1153,월드컵 I-PARK,서울특별시 마포구 성산동 667번지,서울특별시 마포구 모래내로9길 6 (성산동 월드컵아이파크),공공용,,7663,9566,Y,2021-08-12,마포구청,3130000,126.914156,37.567132,192415.9976,551958.4048
1154,e-편한세상@,서울특별시 마포구 성산동 604번지,서울특별시 마포구 월드컵북로 216 (성산동 성산2차 e편한세상),공공용,,3107,3883,Y,2021-08-12,마포구청,3130000,126.905097,37.569875,191616.0028,552263.6044
1155,계룡@,서울특별시 마포구 중동 391번지,서울특별시 마포구 월드컵북로38가길 20 (중동 중동계룡아파트),공공용,,3292,4115,Y,2021-08-12,마포구청,3130000,126.906119,37.570737,191706.4027,552359.2046
1156,참누리@,서울특별시 마포구 중동 398번지,서울특별시 마포구 월드컵북로38길 54 (중동 월드컵참누리아파트),공공용,,9982,20292,Y,2021-08-12,마포구청,3130000,126.905928,37.571389,191689.6018,552431.6048
1157,우진학교,서울특별시 마포구 중동 64번지 2호,서울특별시 마포구 월드컵북로38길 21 (중동 한국우진학교),공공용,,4003,5003,Y,2021-08-12,마포구청,3130000,126.903841,37.571124,191505.2036,552402.4039
