,clust,법정동코드,읍면동주소,code,sido,gu,dong,lat,lng
135,8,11300,옥수동,1120064500,서울특별시,성동구,옥수동,37.540788,127.020624
137,1,11400,성수동1가,1120011400,서울특별시,성동구,성수동1가,37.544661,127.046772
138,4,11500,성수동2가,1120011500,서울특별시,성동구,성수동2가,37.541123,127.056125
139,4,11800,송정동,1120072000,서울특별시,성동구,송정동,37.553181,127.062066
141,9,12200,용답동,1120079000,서울특별시,성동구,용답동,37.56147,127.056348
143,4,1121510100,중곡동,1121510100,서울특별시,광진구,중곡동,37.561882,127.084745
144,4,10200,능동,1121578000,서울특별시,광진구,능동,37.550578,127.081722
146,4,10300,구의동,1121510300,서울특별시,광진구,구의동,37.544655,127.089493
147,8,10400,광장동,1121581000,서울특별시,광진구,광장동,37.547835,127.104695
149,4,10500,자양동,1121510500,서울특별시,광진구,자양동,37.534692,127.074327
150,9,10700,화양동,1121571000,서울특별시,광진구,화양동,37.54325,127.073393
152,4,10900,군자동,1121573000,서울특별시,광진구,군자동,37.553038,127.073657
154,3,1123010100,신설동,1123010100,서울특별시,동대문구,신설동,37.575204,127.026023
155,4,10200,용두동,1123010200,서울특별시,동대문구,용두동,37.576328,127.034621
156,9,10300,제기동,1123054500,서울특별시,동대문구,제기동,37.583778,127.037226
158,4,10400,전농동,1123010400,서울특별시,동대문구,전농동,37.579797,127.053848
159,4,10500,답십리동,1123010500,서울특별시,동대문구,답십리동,37.569883,127.056757
160,4,10600,장안동,1123010600,서울특별시,동대문구,장안동,37.570749,127.068233
161,9,10700,청량리동,1123070500,서울특별시,동대문구,청량리동,37.588799,127.04528
163,9,10800,회기동,1123071000,서울특별시,동대문구,회기동,37.593733,127.051434
165,4,10900,휘경동,1123010900,서울특별시,동대문구,휘경동,37.589592,127.061228
166,9,11100,이문동,1123011000,서울특별시,동대문구,이문동,37.598851,127.062465
167,4,1126010100,면목동,1126010100,서울특별시,중랑구,면목동,37.58442,127.086487
168,4,10300,상봉동,1126010200,서울특별시,중랑구,상봉동,37.596267,127.085704
169,4,10400,중화동,1126010300,서울특별시,중랑구,중화동,37.59975,127.077718
170,4,10500,묵동,1126010400,서울특별시,중랑구,묵동,37.611266,127.077829
171,4,10600,망우동,1126010500,서울특별시,중랑구,망우동,37.596678,127.100419
172,4,1129010100,신내동,1126010600,서울특별시,중랑구,신내동,37.607237,127.098924
173,8,10200,성북동,1129052500,서울특별시,성북구,성북동,37.597248,126.992899
175,3,10300,성북동1가,1129010200,서울특별시,성북구,성북동1가,37.589374,127.003652
176,1,10400,돈암동,1129010300,서울특별시,성북구,돈암동,37.598415,127.020288
177,3,10700,동소문동1가,1129010400,서울특별시,성북구,동소문동1가,37.589858,127.00746
178,3,10800,동소문동4가,1129010700,서울특별시,성북구,동소문동4가,37.591541,127.010756
179,3,10900,동소문동5가,1129010800,서울특별시,성북구,동소문동5가,37.591666,127.01559
180,3,11100,동소문동6가,1129010900,서울특별시,성북구,동소문동6가,37.59377,127.014858
181,3,11200,삼선동1가,1129011100,서울특별시,성북구,삼선동1가,37.585059,127.007942
182,4,11300,삼선동2가,1129011200,서울특별시,성북구,삼선동2가,37.585259,127.010538
183,3,11400,삼선동3가,1129011300,서울특별시,성북구,삼선동3가,37.586298,127.012802
184,3,11500,삼선동4가,1129011400,서울특별시,성북구,삼선동4가,37.589818,127.013135
185,9,11600,삼선동5가,1129011500,서울특별시,성북구,삼선동5가,37.58825,127.015789
186,3,11700,동선동1가,1129011600,서울특별시,성북구,동선동1가,37.592065,127.01826
187,9,11800,동선동2가,1129011700,서울특별시,성북구,동선동2가,37.590091,127.020053
188,3,11900,동선동3가,1129011800,서울특별시,성북구,동선동3가,37.594108,127.020597
189,3,12000,동선동4가,1129011900,서울특별시,성북구,동선동4가,37.595087,127.018541
190,3,12100,동선동5가,1129012000,서울특별시,성북구,동선동5가,37.596185,127.016726
191,3,12200,안암동1가,1129012100,서울특별시,성북구,안암동1가,37.588393,127.021456
192,3,12300,안암동2가,1129012200,서울특별시,성북구,안암동2가,37.586638,127.022973
193,3,12400,안암동3가,1129012300,서울특별시,성북구,안암동3가,37.583915,127.02328
194,9,12500,안암동4가,1129012400,서울특별시,성북구,안암동4가,37.580811,127.024633
195,3,12600,안암동5가,1129012500,서울특별시,성북구,안암동5가,37.586083,127.029493
196,3,12700,보문동5가,1129012700,서울특별시,성북구,보문동5가,37.582359,127.019936
197,3,12800,보문동6가,1129012800,서울특별시,성북구,보문동6가,37.580444,127.019694
198,3,12900,보문동7가,1129012900,서울특별시,성북구,보문동7가,37.580033,127.02182
199,7,13000,보문동1가,1129013000,서울특별시,성북구,보문동1가,37.586226,127.019779
200,3,13100,보문동2가,1129013100,서울특별시,성북구,보문동2가,37.585602,127.018306
201,0,13200,보문동3가,1129013200,서울특별시,성북구,보문동3가,37.584277,127.017551
202,4,13300,정릉동,1129013300,서울특별시,성북구,정릉동,37.608442,127.008288
203,1,13400,길음동,1129013400,서울특별시,성북구,길음동,37.607316,127.02476
204,4,13500,종암동,1129070500,서울특별시,성북구,종암동,37.597176,127.033894
206,4,13600,하월곡동,1129013600,서울특별시,성북구,하월곡동,37.605662,127.035753
207,4,13700,상월곡동,1129013700,서울특별시,성북구,상월곡동,37.606723,127.048393
208,4,13800,장위동,1129013800,서울특별시,성북구,장위동,37.614232,127.050118
209,4,13900,석관동,1129081000,서울특별시,성북구,석관동,37.608265,127.061465
211,4,1130510100,미아동,1130553500,서울특별시,강북구,미아동,37.621106,127.023865
213,4,10200,번동,1130510200,서울특별시,강북구,번동,37.635123,127.032072
214,4,10300,수유동,1130510300,서울특별시,강북구,수유동,37.639388,127.017183
215,4,10400,우이동,1130564500,서울특별시,강북구,우이동,37.663286,127.000508
217,4,10500,쌍문동,1132010500,서울특별시,도봉구,쌍문동,37.652731,127.02871
218,4,10600,방학동,1132010600,서울특별시,도봉구,방학동,37.666224,127.03665
219,4,100700,창동,1132010700,서울특별시,도봉구,창동,37.64344,127.039413
220,4,10800,도봉동,1132010800,서울특별시,도봉구,도봉동,37.678103,127.043249
221,4,1135010200,월계동,1135010200,서울특별시,노원구,월계동,37.622192,127.05865
222,4,10300,공릉동,1135010300,서울특별시,노원구,공릉동,37.623601,127.077388
223,1,10400,하계동,1135010400,서울특별시,노원구,하계동,37.63689,127.073145
224,4,10500,상계동,1135010500,서울특별시,노원구,상계동,37.6671,127.072189
225,1,10600,중계동,1135010600,서울특별시,노원구,중계동,37.646989,127.082411
226,4,1138010100,수색동,1138065000,서울특별시,은평구,수색동,37.585574,126.894529
228,4,10200,녹번동,1138051000,서울특별시,은평구,녹번동,37.605314,126.934567
230,4,10300,불광동,1138010300,서울특별시,은평구,불광동,37.620465,126.927435
231,4,10400,갈현동,1138010400,서울특별시,은평구,갈현동,37.621223,126.914993
232,4,10500,구산동,1138056000,서울특별시,은평구,구산동,37.611074,126.907302
234,4,10600,대조동,1138057000,서울특별시,은평구,대조동,37.612256,126.923141
236,4,10700,응암동,1138010700,서울특별시,은평구,응암동,37.592677,126.920257
237,4,10800,역촌동,1138062500,서울특별시,은평구,역촌동,37.604582,126.914611
239,4,10900,신사동,1162068500,서울특별시,관악구,신사동,37.485479,126.918044
243,1,10700,신사동,1162068500,서울특별시,관악구,신사동,37.485479,126.918044
247,4,11000,증산동,1138064000,서울특별시,은평구,증산동,37.584166,126.905952
249,1,11400,진관동,1138069000,서울특별시,은평구,진관동,37.639681,126.937804
251,3,1141010100,충정로2가,1141010100,서울특별시,서대문구,충정로2가,37.565192,126.964529
252,3,10200,충정로3가,1141010200,서울특별시,서대문구,충정로3가,37.562611,126.961351
253,0,10500,냉천동,1141010500,서울특별시,서대문구,냉천동,37.567257,126.96389
254,3,10600,천연동,1141052000,서울특별시,서대문구,천연동,37.567945,126.959437
256,0,10900,현저동,1141010900,서울특별시,서대문구,현저동,37.576486,126.95422
257,9,11000,북아현동,1141055500,서울특별시,서대문구,북아현동,37.562431,126.954397
259,4,11100,홍제동,1141011100,서울특별시,서대문구,홍제동,37.588734,126.946107
260,9,11200,대현동,1141011200,서울특별시,서대문구,대현동,37.558086,126.944504
261,3,11300,대신동,1141011300,서울특별시,서대문구,대신동,37.566438,126.945199
262,7,11400,신촌동,1141058500,서울특별시,서대문구,신촌동,37.56555,126.941382
264,9,11600,창천동,1141011600,서울특별시,서대문구,창천동,37.558584,126.934113
265,1,11400,창천동,1141011600,서울특별시,서대문구,창천동,37.558584,126.934113
266,4,11700,연희동,1141061500,서울특별시,서대문구,연희동,37.571987,126.932812
268,4,11800,홍은동,1141011800,서울특별시,서대문구,홍은동,37.59156,126.938775
269,4,11900,북가좌동,1141011900,서울특별시,서대문구,북가좌동,37.580344,126.912261
270,1,12000,남가좌동,1141012000,서울특별시,서대문구,남가좌동,37.577538,126.922311
271,1,11440101011,아현동,1144055500,서울특별시,마포구,아현동,37.554474,126.956308
273,1,10200,공덕동,1144056500,서울특별시,마포구,공덕동,37.548092,126.954994
275,1,10300,신공덕동,1144010300,서울특별시,마포구,신공덕동,37.544374,126.956854
276,1,10400,도화동,1144058500,서울특별시,마포구,도화동,37.539758,126.950007
278,0,10500,용강동,1144059000,서울특별시,마포구,용강동,37.541502,126.940443
280,0,10700,마포동,1144010700,서울특별시,마포구,마포동,37.537003,126.945323
281,1,10800,대흥동,1144060000,서울특별시,마포구,대흥동,37.549807,126.943177
283,1,10900,염리동,1144061000,서울특별시,마포구,염리동,37.549096,126.947307
285,9,11000,노고산동,1144011000,서울특별시,마포구,노고산동,37.554402,126.938556
286,1,11100,신수동,1144063000,서울특별시,마포구,신수동,37.548524,126.936813
288,0,11200,현석동,1144011200,서울특별시,마포구,현석동,37.54384,126.933903
289,1,11500,상수동,1144011500,서울특별시,마포구,상수동,37.547431,126.922946
290,3,11800,당인동,1144011800,서울특별시,마포구,당인동,37.54625,126.920245
