"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","비상시설위치","시설구분명","시설명_건물명","해제일자"
"3210000","3210000-S200800076","20080901","","01","영업/정상","18","사용중","","","","","","6570","","서울특별시 서초구 방배동 884번지 21호","서울특별시 서초구 서초대로34길 34 (방배동 방배이편한세상)","06661","방배 이편한세상아파트","20211015103933","U","2021-10-17 02:40:00.0","","199837.09322777     ","442834.239369577    ","서울특별시 서초구 방배동 884번지 21호","공공시설","방배 이편한세상아파트",""
"3210000","3210000-S200800077","20080901","20160824","04","취소/말소/만료/정지/중지","19","사용중지","20160824","","","","","497","","서울특별시 서초구 반포동 1224번지 주공아파트","서울특별시 서초구  신반포로  9 (반포동)","","반포본동 주공@84","20160824162611","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 1224번지 주공아파트","공공시설","반포본동 주공@84","20160824"
"3210000","3210000-S200800078","20080901","20211230","04","취소/말소/만료/정지/중지","19","사용중지","20211230","","","","","485","","서울특별시 서초구 반포동 821번지","서울특별시 서초구 신반포로 9 (반포동 반포아파트)","06501","반포본동 주공아파트 95","20220118092758","U","2022-01-20 02:40:00.0","","198672.895781847    ","444372.77020404     ","서울특별시 서초구 반포동 821번지","공공시설","반포본동 주공아파트 95","20211230"
"3210000","3210000-S200800079","20080901","","01","영업/정상","18","사용중","","","","","","5287","","서울특별시 서초구 방배동 888번지 53호","서울특별시 서초구 방배로18길 67 (방배동 방배자이아파트)","06663","방배 자이아파트","20211015103951","U","2021-10-17 02:40:00.0","","199846.382920421    ","442692.828997323    ","서울특별시 서초구 방배동 888번지 53호","공공시설","방배 자이아파트",""
"3210000","3210000-S200800080","20080901","","01","영업/정상","18","사용중","","","","","","2690","","서울특별시 서초구 방배동 915번지 16호","서울특별시 서초구 방배로11길 35 (방배동 미래푸메)","06687","방배서리풀힐스아파트","20211015104029","U","2021-10-17 02:40:00.0","","199452.965769758    ","442096.520740817    ","서울특별시 서초구 방배동 915번지 16호","공공시설","방배서리풀힐스아파트",""
"3210000","3210000-S200800081","20080901","20160824","04","취소/말소/만료/정지/중지","19","사용중지","20160824","","","","","2417","","서울특별시 서초구 반포동 723번지 3호","서울특별시 서초구  강남대로  519 (반포동)","","논현지하보도","20160824162846","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 723번지 3호","공공시설","논현지하보도","20160824"
"3210000","3210000-S200800082","20080901","","01","영업/정상","18","사용중","","","","","","5505","","서울특별시 서초구 방배동 888번지 40호","서울특별시 서초구 방배로18길 81 (방배동 롯데캐슬파크)","06663","롯데캐슬파크아파트","20211015104054","U","2021-10-17 02:40:00.0","","199897.71952619     ","442647.269805213    ","서울특별시 서초구 방배동 888번지 40호","공공시설","롯데캐슬파크아파트",""
"3210000","3210000-S200800083","20080901","","01","영업/정상","18","사용중","","","","","","1400","","서울특별시 서초구 반포동 30번지 19호","서울특별시 서초구 고무래로 71 (반포동 반포고등학교)","06598","반포고옆 지하보도","20211014132155","U","2021-10-16 02:40:00.0","","201395.851786408    ","444417.909508038    ","서울특별시 서초구 반포동 30번지 19호","공공시설","반포고옆 지하보도",""
"3210000","3210000-S200800084","20080901","","01","영업/정상","18","사용중","","","","","","5560","","서울특별시 서초구 반포동 730번지","서울특별시 서초구 주흥3길 34 (반포동 방음언덕형 구립공영주차장)","06539","구립공용주차장","20211014132212","U","2021-10-16 02:40:00.0","","201552.711589927    ","444738.474405663    ","서울특별시 서초구 반포동 730번지","공공시설","구립공용주차장",""
"3210000","3210000-S200800085","20080901","","01","영업/정상","18","사용중","","","","","","7282","","서울특별시 서초구 방배동 923번지 6호","서울특별시 서초구 방배로13길 18 (방배동 방배아크로타워)","06683","방배아크로타워아파트","20211015104117","U","2021-10-17 02:40:00.0","","199513.040528302    ","442328.58100894     ","서울특별시 서초구 방배동 923번지 6호","공공시설","방배아크로타워아파트",""
"3210000","3210000-S200800086","20080901","","01","영업/정상","18","사용중","","","","","","9500","","서울특별시 서초구 반포동 20번지 45호","서울특별시 서초구 잠원로 24 (반포동 반포자이플라자)","06544","반포지하상가","20211014132227","U","2021-10-16 02:40:00.0","","200800.417027918    ","444989.874340522    ","서울특별시 서초구 반포동 20번지 45호","공공시설","반포지하상가",""
"3210000","3210000-S200800087","20080901","","01","영업/정상","18","사용중","","","","","","3700","","서울특별시 서초구 반포동 745번지 5호","서울특별시 서초구 사평대로 343 (반포동 제일약품 사옥)","06543","제일약품","20211014132240","U","2021-10-16 02:40:00.0","","201735.313086278    ","444607.900958198    ","서울특별시 서초구 반포동 745번지 5호","공공시설","제일약품",""
"3210000","3210000-S200800088","20080901","20160824","04","취소/말소/만료/정지/중지","19","사용중지","20160824","","","","","300","","서울특별시 서초구 반포동 1번지 8호","서울특별시 서초구  신반포로  137 (반포동)","","한강반포나들목","20160824162925","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 1번지 8호","공공시설","한강반포나들목","20160824"
"3210000","3210000-S200800089","20080901","","01","영업/정상","18","사용중","","","","","","4027","","서울특별시 서초구 방배동 940번지 8호","서울특별시 서초구 서초대로18길 6 (방배동 방배금강아파트)","06673","방배 금강아파트","20211015104137","U","2021-10-17 02:40:00.0","","199156.575541215    ","442640.663875206    ","서울특별시 서초구 방배동 940번지 8호","공공시설","방배 금강아파트",""
"3210000","3210000-S200800090","20080901","20161230","04","취소/말소/만료/정지/중지","19","사용중지","20161230","","","","","188","","서울특별시 서초구 반포동 4번지 15호","서울특별시 서초구 신반포로15길 16 (반포동 반포2동주민센터)","06504","반포2동주민자치센터","20180719152003","I","2018-08-31 23:59:59.0","","199441.101629112    ","444708.373788496    ","서울특별시 서초구 반포동 4번지 15호","공공시설","반포2동주민자치센터","20161230"
"3210000","3210000-S200800091","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","2832","","서울특별시 서초구 반포동 1번지 1호","서울특별시 서초구 신반포로19길 10 (반포동 신반포3지구아파트)","06505","신반포 3차아파트","20190313150515","U","2019-03-15 02:40:00.0","","199692.409380395    ","444953.682162516    ","서울특별시 서초구 반포동 1번지 1호","공공시설","신반포 3차아파트","20190228"
"3210000","3210000-S200800092","20080901","","01","영업/정상","18","사용중","","","","","","620","","서울특별시 서초구 방배동 462번지 13호","서울특별시 서초구 청두곶길 36 (방배동 방배2동주민센터)","06690","방배2동 주민자치센터","20211018100240","U","2021-10-20 02:40:00.0","","198653.049585486    ","441957.15607367     ","서울특별시 서초구 방배동 462번지 13호","공공시설","방배2동 주민자치센터",""
"3210000","3210000-S200800093","20080901","20151202","04","취소/말소/만료/정지/중지","19","사용중지","20151202","","","","","297","","서울특별시 서초구 반포동 2번지 9호","서울특별시 서초구  신반포로15길  19 (반포동)","","신반포 아파트","20151202105955","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 2번지 9호","공공시설","신반포 아파트","20151202"
"3210000","3210000-S200800094","20080901","20190228","04","취소/말소/만료/정지/중지","19","사용중지","20190228","","","","","630","","서울특별시 서초구 반포동 1번지 1호","서울특별시 서초구 신반포로19길 10 (반포동 신반포3지구아파트)","06505","신반포 3지구@","20190313150818","U","2019-03-15 02:40:00.0","","199692.409380395    ","444953.682162516    ","서울특별시 서초구 반포동 1번지 1호","공공시설","신반포 3지구@","20190228"
