,호선_x,역번호,역명,경도,위도,호선_y,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
133,5,2539,신금호,127.020403,37.554504,5,신금호,B8,섬식,159.03,115.77,43.26,42.16,최대심도역
134,5,2540,행당,127.029482,37.557297,5,행당,B5,상대식,124.99,96.86,28.13,27.03,
135,5,2542,마장,127.042921,37.566066,5,마장,B3,상대식,113.93,95.75,18.18,17.08,
136,5,2543,답십리,127.05266,37.566833,5,답십리,B3,상대식,112.14,91.44,20.7,19.6,
137,5,2544,장한평,127.064601,37.561438,5,장한평,B3,섬식,112.75,90.26,22.49,21.39,
138,5,2545,군자,127.079559,37.557102,5,군자,B2,섬식,116.3,101.96,14.34,13.24,7호선환승
139,5,2546,아차산,127.089609,37.552005,5,아차산,B3,상대식,135.39,113.96,21.43,20.33,
140,5,2547,광나루,127.103478,37.545301,5,광나루,B3,상대식,119.92,99.7,20.22,19.12,
141,5,2548,천호,127.123539,37.538566,5,천호,B3,상대식,117,96,21,19.9,8호선환승
142,5,2549,강동,127.13249,37.53581,5,강동,B3,섬식(복합),122.5,99.18,23.32,22.22,
143,5,2550,길동,127.140085,37.538022,5,길동,B3,상대식,119.1,96.83,22.27,21.17,
144,5,2551,굽은다리,127.142844,37.545442,5,굽은다리,B2,상대식,121.14,105.72,15.42,14.32,
145,5,2552,명일,127.144002,37.551317,5,명일,B2,상대식,132.57,116.31,16.26,15.16,
146,5,2553,고덕,127.154214,37.555002,5,고덕,B2,상대식,132.53,114.95,17.58,16.48,
147,5,2554,상일동,127.166381,37.556714,5,상일동,B2,섬식(복합),121.72,107.71,14.01,12.91,
148,5,2555,둔촌동,127.136219,37.527787,5,둔촌,B2,상대식,117.97,100.23,17.74,16.64,
149,5,2556,올림픽공원,127.130957,37.516217,5,올림픽공원,B3,상대식,119.76,100.85,18.91,17.81,
150,5,2557,방이,127.126054,37.508752,5,방이,B2,상대식,120.44,105.27,15.17,14.07,
151,5,2559,개롱,127.134817,37.498097,5,개롱,B2,상대식,129.21,113.69,15.52,14.42,
152,5,2560,거여,127.143983,37.493208,5,거여,B3,상대식,133.47,115.15,18.32,17.22,
153,5,2561,마천,127.152784,37.494972,5,마천,B4,상대식,144.84,117.61,27.23,26.13,
155,5,2563,미사,127.192954,37.56329,5,미사,B2,상대식,121.91,105.91,16,14.9,
156,5,2564,하남풍산,127.203897,37.552201,5,하남풍산,B2,상대식,124.41,106.79,17.62,16.52,
157,5,2565,하남시청,127.206901,37.541723,5,하남시청,B2,상대식,126.19,105.69,20.5,19.4,
158,5,2566,하남검단산,127.223427,37.539729,5,하남검단산,B2,상대식,122.93,96.54,26.39,25.29,
159,6,2611,응암,126.915583,37.59859,6,응암,B3,섬식,117.58,98.57,19.01,17.91,
160,6,2612,역촌,126.922764,37.60605,6,역촌,B4,상대식,121.97,93.83,28.14,27.04,
161,6,2614,독바위,126.933035,37.618413,6,독바위,B6,상대식,138.67,100.73,37.94,36.84,
162,6,2617,구산,126.917246,37.611223,6,구산,B4,상대식,121.11,94.59,26.52,25.42,
163,6,2618,새절,126.913613,37.591148,6,새절,B2,섬식,115.83,100.39,15.44,14.34,
164,6,2619,증산,126.909785,37.583989,6,증산,B2,상대식,114.89,99.13,15.76,14.66,
165,6,2620,디지털미디어시티,126.898643,37.577005,6,DMC,B2,상대식,114,101.33,12.67,11.57,
166,6,2621,월드컵경기장,126.899077,37.569439,6,월드컵경기장,B2,상대식,113.78,96.48,17.3,16.2,
167,6,2622,마포구청,126.903326,37.563535,6,마포구청,B3,상대식,115.84,94.68,21.16,20.06,
168,6,2623,망원,126.910129,37.556031,6,망원,B2,상대식,109.49,94.64,14.85,13.75,
169,6,2625,상수,126.92292,37.547704,6,상수,B3,섬식,118.28,95.65,22.63,21.53,
170,6,2626,광흥창,126.931971,37.547464,6,광흥창,B3,섬식,113.67,91.35,22.32,21.22,
171,6,2627,대흥,126.942214,37.547732,6,대흥,B3,섬식,114.97,94.1,20.87,19.77,
172,6,2629,효창공원앞,126.961348,37.539279,6,효창공원앞,B3,섬식,113.28,92.85,20.43,19.33,
173,6,2631,녹사평,126.98665,37.53469,6,녹사평,B5,섬식,141.03,106.81,34.22,33.12,
174,6,2632,이태원,126.994369,37.534485,6,이태원,B5,섬식,152.52,117.87,34.65,33.55,
175,6,2633,한강진,127.001729,37.53956,6,한강진,B5,상대식,147.18,120.4,26.78,25.68,
176,6,2634,버티고개,127.006948,37.547933,6,버티고개,B5,상대식,168.27,122.52,45.75,44.65,최대심도역
177,6,2639,창신,127.015246,37.579772,6,창신,B4,섬식,136,109.45,26.55,25.45,
178,6,2640,보문,127.019377,37.585293,6,보문,B3,섬식,124.45,107.44,17.01,15.91,
179,6,2641,안암,127.02903,37.586261,6,안암,B3,상대식,127.61,107.48,20.13,19.03,
180,6,2642,고려대,127.03626,37.59034,6,고려대,B4,상대식,125.24,94.25,30.99,29.89,
181,6,2643,월곡,127.041492,37.60192,6,월곡,B3,상대식,125.62,104.51,21.11,20.01,
182,6,2644,상월곡,127.048509,37.606392,6,상월곡,B3,섬식,129.94,111.39,18.55,17.45,
183,6,2645,돌곶이,127.056419,37.610522,6,돌곶이,B2,상대식,118.73,101.87,16.86,15.76,
184,6,2646,석계,127.065922,37.614937,6,석계,B3,상대식,119.68,100.01,19.67,18.57,
185,6,2647,태릉입구,127.074741,37.617319,6,태릉입구,B2,상대식,119.9,103.35,16.55,15.45,7호선환승
186,6,2648,화랑대,127.084106,37.619875,6,화랑대,B2,상대식,119.99,103.32,16.67,15.57,
187,6,2615,봉화산,127.091375,37.617293,6,봉화산,B2,섬식,123.46,112.42,11.04,9.94,
188,6,2649,신내,127.104326,37.612571,6,신내,지상,단선,132.2,132.8,-0.6,-1.7,`19.12월신축(개통)
189,7,2711,장암,127.053126,37.70015,7,장암,지상,상대식,136.2,136.8,-0.6,-1.7,
190,7,2712,도봉산,127.046548,37.689131,7,도봉산,지상,상대식,128.52,133.77,-5.25,-6.35,
191,7,2713,수락산,127.055314,37.677804,7,수락산,B3,섬식(복합),131.52,115.96,15.56,14.46,
192,7,2714,마들,127.057701,37.664985,7,마들,B3,섬식,125.84,104.7,21.14,20.04,
193,7,2716,중계,127.064084,37.645052,7,중계,B3,섬식,124.2,102.78,21.42,20.32,
194,7,2717,하계,127.067999,37.636363,7,하계,B3,섬식,120.77,99.5,21.27,20.17,
195,7,2718,공릉,127.072969,37.625642,7,공릉,B4,상대식,118.74,95.02,23.72,22.62,
196,7,2720,먹골,127.077719,37.610638,7,먹골,B3,상대식,117.11,97.84,19.27,18.17,
197,7,2721,중화,127.079254,37.602604,7,중화,B3,상대식,116.13,95.68,20.45,19.35,
198,7,2722,상봉,127.085708,37.595673,7,상봉,B3,상대식,117.63,94.28,23.35,22.25,
199,7,2723,면목,127.087503,37.588671,7,면목,B4,상대식,120.4,92.82,27.58,26.48,
200,7,2724,사가정,127.088502,37.580912,7,사가정,B4,상대식,123.51,98.74,24.77,23.67,
