,clust,법정동코드,code,읍면동주소,gu,lat,lng,color
175,4,1117010100,1117051000,후암동,용산구,37.549901,126.980613,orange
176,4,10900,1117010900,청파동1가,용산구,37.54887,126.967046,orange
177,4,13200,1117013200,동빙고동,용산구,37.523599,126.995949,orange
178,4,10200,1120010100,상왕십리동,성동구,37.569332,127.025349,orange
179,4,10500,1120054000,마장동,성동구,37.567363,127.040731,orange
180,4,11500,1120011500,성수동2가,성동구,37.541123,127.056125,orange
181,4,11800,1120072000,송정동,성동구,37.553181,127.062066,orange
182,4,1121510100,1121510100,중곡동,광진구,37.561882,127.084745,orange
183,4,10200,1121578000,능동,광진구,37.550578,127.081722,orange
184,4,10300,1121510300,구의동,광진구,37.544655,127.089493,orange
185,4,10500,1121510500,자양동,광진구,37.534692,127.074327,orange
186,4,10900,1121573000,군자동,광진구,37.553038,127.073657,orange
187,4,10200,1123010200,용두동,동대문구,37.576328,127.034621,orange
188,4,10400,1123010400,전농동,동대문구,37.579797,127.053848,orange
189,4,10500,1123010500,답십리동,동대문구,37.569883,127.056757,orange
190,4,10600,1123010600,장안동,동대문구,37.570749,127.068233,orange
191,4,10900,1123010900,휘경동,동대문구,37.589592,127.061228,orange
192,4,1126010100,1126010100,면목동,중랑구,37.58442,127.086487,orange
193,4,10300,1126010200,상봉동,중랑구,37.596267,127.085704,orange
194,4,10400,1126010300,중화동,중랑구,37.59975,127.077718,orange
195,4,10500,1126010400,묵동,중랑구,37.611266,127.077829,orange
196,4,10600,1126010500,망우동,중랑구,37.596678,127.100419,orange
197,4,1129010100,1126010600,신내동,중랑구,37.607237,127.098924,orange
198,4,11300,1129011200,삼선동2가,성북구,37.585259,127.010538,orange
199,4,13300,1129013300,정릉동,성북구,37.608442,127.008288,orange
200,4,13500,1129070500,종암동,성북구,37.597176,127.033894,orange
201,4,13600,1129013600,하월곡동,성북구,37.605662,127.035753,orange
202,4,13700,1129013700,상월곡동,성북구,37.606723,127.048393,orange
203,4,13800,1129013800,장위동,성북구,37.614232,127.050118,orange
204,4,13900,1129081000,석관동,성북구,37.608265,127.061465,orange
205,4,1130510100,1130553500,미아동,강북구,37.621106,127.023865,orange
206,4,10200,1130510200,번동,강북구,37.635123,127.032072,orange
207,4,10300,1130510300,수유동,강북구,37.639388,127.017183,orange
208,4,10400,1130564500,우이동,강북구,37.663286,127.000508,orange
209,4,10500,1132010500,쌍문동,도봉구,37.652731,127.02871,orange
210,4,10600,1132010600,방학동,도봉구,37.666224,127.03665,orange
211,4,100700,1132010700,창동,도봉구,37.64344,127.039413,orange
212,4,10800,1132010800,도봉동,도봉구,37.678103,127.043249,orange
213,4,1135010200,1135010200,월계동,노원구,37.622192,127.05865,orange
214,4,10300,1135010300,공릉동,노원구,37.623601,127.077388,orange
215,4,10500,1135010500,상계동,노원구,37.6671,127.072189,orange
216,4,1138010100,1138065000,수색동,은평구,37.585574,126.894529,orange
217,4,10200,1138051000,녹번동,은평구,37.605314,126.934567,orange
218,4,10300,1138010300,불광동,은평구,37.620465,126.927435,orange
219,4,10400,1138010400,갈현동,은평구,37.621223,126.914993,orange
220,4,10500,1138056000,구산동,은평구,37.611074,126.907302,orange
221,4,10600,1138057000,대조동,은평구,37.612256,126.923141,orange
222,4,10700,1138010700,응암동,은평구,37.592677,126.920257,orange
223,4,10800,1138062500,역촌동,은평구,37.604582,126.914611,orange
224,4,10900,1162068500,신사동,관악구,37.485479,126.918044,orange
225,4,11000,1138064000,증산동,은평구,37.584166,126.905952,orange
226,4,11100,1141011100,홍제동,서대문구,37.588734,126.946107,orange
227,4,11700,1141061500,연희동,서대문구,37.571987,126.932812,orange
228,4,11800,1141011800,홍은동,서대문구,37.59156,126.938775,orange
229,4,11900,1141011900,북가좌동,서대문구,37.580344,126.912261,orange
230,4,12000,1144066000,서교동,마포구,37.553838,126.918765,orange
231,4,12200,1144068000,합정동,마포구,37.547027,126.909029,orange
232,4,12300,1144012300,망원동,마포구,37.55662,126.903976,orange
233,4,12400,1144071000,연남동,마포구,37.563027,126.921519,orange
234,4,12500,1144012500,성산동,마포구,37.563317,126.91087,orange
235,4,10300,1147010300,신월동,양천구,37.529444,126.834248,orange
236,4,10200,1150010200,등촌동,강서구,37.551325,126.858411,orange
237,4,10300,1150010300,화곡동,강서구,37.538358,126.847336,orange
238,4,10400,1150010400,가양동,강서구,37.568238,126.845059,orange
239,4,10800,1150062000,공항동,강서구,37.554779,126.810453,orange
240,4,10900,1150010900,방화동,강서구,37.569138,126.812192,orange
241,4,10200,1153010200,구로동,구로구,37.4929,126.886427,orange
242,4,10600,1153010600,고척동,구로구,37.50356,126.855829,orange
243,4,10700,1153010700,개봉동,구로구,37.49497,126.851409,orange
244,4,10800,1153010800,오류동,구로구,37.494129,126.840746,orange
245,4,10900,1153010900,궁동,구로구,37.49687,126.831303,orange
246,4,11000,1153011000,온수동,구로구,37.493507,126.820255,orange
247,4,11000,1153011100,천왕동,구로구,37.482016,126.841789,orange
248,4,11545210100,1154551000,가산동,금천구,37.476681,126.883767,orange
249,4,10200,1154510200,독산동,금천구,37.469371,126.901246,orange
250,4,10300,1154510300,시흥동,금천구,37.453325,126.906222,orange
251,4,1156010100,1156053500,영등포동,영등포구,37.513786,126.906901,orange
252,4,12800,1156012800,양평동4가,영등포구,37.537079,126.89626,orange
253,4,13200,1156013200,신길동,영등포구,37.507088,126.913103,orange
254,4,1159010100,1159010100,노량진동,동작구,37.510162,126.940418,orange
255,4,10200,1159010200,상도동,동작구,37.499206,126.940385,orange
256,4,10300,1159010300,상도1동,동작구,37.502889,126.950645,orange
257,4,10700,1159010700,사당동,동작구,37.483974,126.974999,orange
258,4,10900,1159010900,신대방동,동작구,37.492678,126.917721,orange
259,4,1162010100,1162010100,봉천동,관악구,37.482717,126.949951,orange
260,4,10200,1162069500,신림동,관악구,37.463204,126.935795,orange
261,4,10300,1162063000,남현동,관악구,37.464115,126.977754,orange
262,4,10300,1171010300,풍납동,송파구,37.534673,127.117643,orange
263,4,10500,1171060000,석촌동,송파구,37.50273,127.102497,orange
264,4,10600,1171061000,삼전동,송파구,37.501901,127.091876,orange
265,4,11300,1171011300,거여동,송파구,37.494161,127.145196,orange
266,4,11400,1171011400,마천동,송파구,37.497117,127.152393,orange
267,4,10500,1174068500,길동,강동구,37.539616,127.145914,orange
268,4,10700,1174010700,암사동,강동구,37.552497,127.13301,orange
269,4,10800,1174010800,성내동,강동구,37.531338,127.129174,orange
270,4,10900,1174010900,천호동,강동구,37.543676,127.131748,orange
271,1,18200,1111018200,구기동,종로구,37.609211,126.957246,blue
272,1,18700,1111057000,무악동,종로구,37.57711,126.958562,blue
273,1,11900,1117058000,효창동,용산구,37.542828,126.960951,blue
274,1,10200,1120010200,하왕십리동,성동구,37.562462,127.029586,blue
275,1,10700,1120010700,행당동,성동구,37.559076,127.035869,blue
276,1,10800,1120058000,응봉동,성동구,37.550935,127.033903,blue
277,1,10900,1120010900,금호동1가,성동구,37.554697,127.023412,blue
278,1,11000,1120011000,금호동2가,성동구,37.552482,127.020133,blue
279,1,11100,1120011100,금호동3가,성동구,37.549504,127.021812,blue
280,1,11200,1120011200,금호동4가,성동구,37.547468,127.02006,blue
281,1,11400,1120011400,성수동1가,성동구,37.544661,127.046772,blue
282,1,10400,1129010300,돈암동,성북구,37.598415,127.020288,blue
283,1,13400,1129013400,길음동,성북구,37.607316,127.02476,blue
284,1,10400,1135010400,하계동,노원구,37.63689,127.073145,blue
285,1,10600,1135010600,중계동,노원구,37.646989,127.082411,blue
286,1,10700,1162068500,신사동,관악구,37.485479,126.918044,blue
287,1,11400,1138069000,진관동,은평구,37.639681,126.937804,blue
288,1,11400,1141011600,창천동,서대문구,37.558584,126.934113,blue
289,1,12000,1141012000,남가좌동,서대문구,37.577538,126.922311,blue
290,1,11440101011,1144055500,아현동,마포구,37.554474,126.956308,blue
291,1,10200,1144056500,공덕동,마포구,37.548092,126.954994,blue
292,1,10300,1144010300,신공덕동,마포구,37.544374,126.956854,blue
293,1,10400,1144058500,도화동,마포구,37.539758,126.950007,blue
294,1,10800,1144060000,대흥동,마포구,37.549807,126.943177,blue
295,1,10900,1144061000,염리동,마포구,37.549096,126.947307,blue
296,1,11100,1144063000,신수동,마포구,37.548524,126.936813,blue
297,1,11500,1144011500,상수동,마포구,37.547431,126.922946,blue
298,1,12600,1144012600,중동,마포구,37.5704,126.907656,blue
299,1,12700,1144074000,상암동,마포구,37.570748,126.87984,blue
300,1,1147010100,1144011700,신정동,양천구,37.521636,126.857957,blue
301,1,1150010100,1150051000,염창동,강서구,37.554552,126.871764,blue
302,1,10500,1150010500,마곡동,강서구,37.566092,126.830395,blue
303,1,10600,1150010600,내발산동,강서구,37.552616,126.83573,blue
304,1,1153010100,1153051000,신도림동,구로구,37.509951,126.882174,blue
305,1,11200,1153011200,항동,구로구,37.484059,126.82298,blue
306,1,11300,1156011300,당산동3가,영등포구,37.525551,126.896668,blue
307,1,11400,1156011400,당산동4가,영등포구,37.528887,126.898848,blue
308,1,11500,1156011500,당산동5가,영등포구,37.532856,126.899187,blue
309,1,12100,1156012100,문래동3가,영등포구,37.516929,126.897249,blue
310,1,12400,1156012400,문래동6가,영등포구,37.519342,126.886528,blue
311,1,12700,1156012700,양평동3가,영등포구,37.528148,126.889731,blue
312,1,10400,1159010400,본동,동작구,37.511491,126.954336,blue
313,1,10500,1159060500,흑석동,동작구,37.505492,126.962317,blue
314,1,10800,1159066000,대방동,동작구,37.506879,126.927994,blue
315,1,10200,1165010200,양재동,서초구,37.474839,127.041717,blue
316,1,10300,1165010300,우면동,서초구,37.466629,127.021892,blue
317,1,10300,1168010300,개포동,강남구,37.47826,127.052024,blue
318,1,10800,1168010800,논현동,강남구,37.513093,127.031353,blue
